Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,0.00032
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,1
Vertical Scale,0.2
Label,
TIME,CH1
-2.605e-01,1.784
-2.602e-01,1.784
-2.598e-01,1.784
-2.595e-01,1.792
-2.592e-01,1.792
-2.589e-01,1.784
-2.586e-01,1.784
-2.582e-01,1.776
-2.579e-01,1.776
-2.576e-01,1.768
-2.573e-01,1.768
-2.570e-01,1.768
-2.566e-01,1.76
-2.563e-01,1.76
-2.560e-01,1.76
-2.557e-01,1.768
-2.554e-01,1.76
-2.550e-01,1.76
-2.547e-01,1.752
-2.544e-01,1.76
-2.541e-01,1.76
-2.538e-01,1.752
-2.534e-01,1.752
-2.531e-01,1.76
-2.528e-01,1.76
-2.525e-01,1.752
-2.522e-01,1.752
-2.518e-01,1.752
-2.515e-01,1.752
-2.512e-01,1.752
-2.509e-01,1.728
-2.506e-01,1.728
-2.502e-01,1.72
-2.499e-01,1.72
-2.496e-01,1.72
-2.493e-01,1.728
-2.490e-01,1.72
-2.486e-01,1.728
-2.483e-01,1.728
-2.480e-01,1.744
-2.477e-01,1.744
-2.474e-01,1.744
-2.470e-01,1.744
-2.467e-01,1.752
-2.464e-01,1.744
-2.461e-01,1.752
-2.458e-01,1.752
-2.454e-01,1.752
-2.451e-01,1.752
-2.448e-01,1.752
-2.445e-01,1.752
-2.442e-01,1.76
-2.438e-01,1.76
-2.435e-01,1.76
-2.432e-01,1.752
-2.429e-01,1.76
-2.426e-01,1.752
-2.422e-01,1.752
-2.419e-01,1.76
-2.416e-01,1.76
-2.413e-01,1.76
-2.410e-01,1.768
-2.406e-01,1.776
-2.403e-01,1.784
-2.400e-01,1.776
-2.397e-01,1.792
-2.394e-01,1.784
-2.390e-01,1.776
-2.387e-01,1.768
-2.384e-01,1.784
-2.381e-01,1.776
-2.378e-01,1.768
-2.374e-01,1.76
-2.371e-01,1.768
-2.368e-01,1.76
-2.365e-01,1.752
-2.362e-01,1.752
-2.358e-01,1.752
-2.355e-01,1.752
-2.352e-01,1.752
-2.349e-01,1.752
-2.346e-01,1.744
-2.342e-01,1.736
-2.339e-01,1.736
-2.336e-01,1.744
-2.333e-01,1.736
-2.330e-01,1.736
-2.326e-01,1.744
-2.323e-01,1.736
-2.320e-01,1.736
-2.317e-01,1.736
-2.314e-01,1.744
-2.310e-01,1.728
-2.307e-01,1.72
-2.304e-01,1.712
-2.301e-01,1.712
-2.298e-01,1.704
-2.294e-01,1.704
-2.291e-01,1.704
-2.288e-01,1.712
-2.285e-01,1.712
-2.282e-01,1.712
-2.278e-01,1.72
-2.275e-01,1.728
-2.272e-01,1.728
-2.269e-01,1.736
-2.266e-01,1.736
-2.262e-01,1.736
-2.259e-01,1.744
-2.256e-01,1.736
-2.253e-01,1.736
-2.250e-01,1.744
-2.246e-01,1.744
-2.243e-01,1.752
-2.240e-01,1.752
-2.237e-01,1.744
-2.234e-01,1.744
-2.230e-01,1.744
-2.227e-01,1.752
-2.224e-01,1.752
-2.221e-01,1.744
-2.218e-01,1.752
-2.214e-01,1.744
-2.211e-01,1.76
-2.208e-01,1.768
-2.205e-01,1.776
-2.202e-01,1.776
-2.198e-01,1.784
-2.195e-01,1.784
-2.192e-01,1.776
-2.189e-01,1.776
-2.186e-01,1.776
-2.182e-01,1.776
-2.179e-01,1.768
-2.176e-01,1.76
-2.173e-01,1.76
-2.170e-01,1.76
-2.166e-01,1.76
-2.163e-01,1.76
-2.160e-01,1.76
-2.157e-01,1.76
-2.154e-01,1.76
-2.150e-01,1.76
-2.147e-01,1.76
-2.144e-01,1.76
-2.141e-01,1.76
-2.138e-01,1.76
-2.134e-01,1.76
-2.131e-01,1.752
-2.128e-01,1.752
-2.125e-01,1.744
-2.122e-01,1.752
-2.118e-01,1.752
-2.115e-01,1.76
-2.112e-01,1.744
-2.109e-01,1.736
-2.106e-01,1.736
-2.102e-01,1.728
-2.099e-01,1.728
-2.096e-01,1.72
-2.093e-01,1.728
-2.090e-01,1.728
-2.086e-01,1.736
-2.083e-01,1.736
-2.080e-01,1.736
-2.077e-01,1.752
-2.074e-01,1.752
-2.070e-01,1.76
-2.067e-01,1.752
-2.064e-01,1.76
-2.061e-01,1.752
-2.058e-01,1.768
-2.054e-01,1.76
-2.051e-01,1.76
-2.048e-01,1.76
-2.045e-01,1.768
-2.042e-01,1.768
-2.038e-01,1.768
-2.035e-01,1.768
-2.032e-01,1.768
-2.029e-01,1.776
-2.026e-01,1.768
-2.022e-01,1.776
-2.019e-01,1.768
-2.016e-01,1.776
-2.013e-01,1.776
-2.010e-01,1.792
-2.006e-01,1.8
-2.003e-01,1.8
-2.000e-01,1.8
-1.997e-01,1.8
-1.994e-01,1.808
-1.990e-01,1.8
-1.987e-01,1.792
-1.984e-01,1.792
-1.981e-01,1.792
-1.978e-01,1.784
-1.974e-01,1.784
-1.971e-01,1.776
-1.968e-01,1.776
-1.965e-01,1.776
-1.962e-01,1.776
-1.958e-01,1.768
-1.955e-01,1.768
-1.952e-01,1.76
-1.949e-01,1.768
-1.946e-01,1.768
-1.942e-01,1.768
-1.939e-01,1.76
-1.936e-01,1.76
-1.933e-01,1.768
-1.930e-01,1.768
-1.926e-01,1.768
-1.923e-01,1.76
-1.920e-01,1.76
-1.917e-01,1.768
-1.914e-01,1.76
-1.910e-01,1.752
-1.907e-01,1.744
-1.904e-01,1.736
-1.901e-01,1.736
-1.898e-01,1.728
-1.894e-01,1.728
-1.891e-01,1.728
-1.888e-01,1.744
-1.885e-01,1.744
-1.882e-01,1.744
-1.878e-01,1.744
-1.875e-01,1.76
-1.872e-01,1.76
-1.869e-01,1.76
-1.866e-01,1.768
-1.862e-01,1.76
-1.859e-01,1.76
-1.856e-01,1.76
-1.853e-01,1.76
-1.850e-01,1.768
-1.846e-01,1.776
-1.843e-01,1.776
-1.840e-01,1.776
-1.837e-01,1.768
-1.834e-01,1.776
-1.830e-01,1.776
-1.827e-01,1.776
-1.824e-01,1.768
-1.821e-01,1.776
-1.818e-01,1.776
-1.814e-01,1.776
-1.811e-01,1.776
-1.808e-01,1.792
-1.805e-01,1.808
-1.802e-01,1.808
-1.798e-01,1.808
-1.795e-01,1.8
-1.792e-01,1.808
-1.789e-01,1.8
-1.786e-01,1.8
-1.782e-01,1.792
-1.779e-01,1.784
-1.776e-01,1.784
-1.773e-01,1.792
-1.770e-01,1.792
-1.766e-01,1.784
-1.763e-01,1.792
-1.760e-01,1.792
-1.757e-01,1.784
-1.754e-01,1.784
-1.750e-01,1.776
-1.747e-01,1.776
-1.744e-01,1.784
-1.741e-01,1.792
-1.738e-01,1.784
-1.734e-01,1.784
-1.731e-01,1.784
-1.728e-01,1.8
-1.725e-01,1.784
-1.722e-01,1.792
-1.718e-01,1.776
-1.715e-01,1.792
-1.712e-01,1.792
-1.709e-01,1.784
-1.706e-01,1.76
-1.702e-01,1.76
-1.699e-01,1.768
-1.696e-01,1.768
-1.693e-01,1.768
-1.690e-01,1.776
-1.686e-01,1.776
-1.683e-01,1.768
-1.680e-01,1.776
-1.677e-01,1.792
-1.674e-01,1.784
-1.670e-01,1.792
-1.667e-01,1.8
-1.664e-01,1.8
-1.661e-01,1.8
-1.658e-01,1.808
-1.654e-01,1.8
-1.651e-01,1.808
-1.648e-01,1.808
-1.645e-01,1.808
-1.642e-01,1.808
-1.638e-01,1.816
-1.635e-01,1.816
-1.632e-01,1.816
-1.629e-01,1.816
-1.626e-01,1.816
-1.622e-01,1.808
-1.619e-01,1.816
-1.616e-01,1.824
-1.613e-01,1.824
-1.610e-01,1.824
-1.606e-01,1.84
-1.603e-01,1.84
-1.600e-01,1.84
-1.597e-01,1.848
-1.594e-01,1.848
-1.590e-01,1.84
-1.587e-01,1.84
-1.584e-01,1.832
-1.581e-01,1.824
-1.578e-01,1.816
-1.574e-01,1.816
-1.571e-01,1.816
-1.568e-01,1.824
-1.565e-01,1.816
-1.562e-01,1.808
-1.558e-01,1.8
-1.555e-01,1.808
-1.552e-01,1.808
-1.549e-01,1.8
-1.546e-01,1.792
-1.542e-01,1.784
-1.539e-01,1.784
-1.536e-01,1.784
-1.533e-01,1.784
-1.530e-01,1.776
-1.526e-01,1.776
-1.523e-01,1.776
-1.520e-01,1.784
-1.517e-01,1.776
-1.514e-01,1.776
-1.510e-01,1.76
-1.507e-01,1.752
-1.504e-01,1.736
-1.501e-01,1.736
-1.498e-01,1.736
-1.494e-01,1.728
-1.491e-01,1.728
-1.488e-01,1.728
-1.485e-01,1.728
-1.482e-01,1.728
-1.478e-01,1.728
-1.475e-01,1.736
-1.472e-01,1.736
-1.469e-01,1.728
-1.466e-01,1.736
-1.462e-01,1.736
-1.459e-01,1.728
-1.456e-01,1.728
-1.453e-01,1.728
-1.450e-01,1.728
-1.446e-01,1.728
-1.443e-01,1.728
-1.440e-01,1.72
-1.437e-01,1.72
-1.434e-01,1.712
-1.430e-01,1.712
-1.427e-01,1.704
-1.424e-01,1.704
-1.421e-01,1.704
-1.418e-01,1.688
-1.414e-01,1.688
-1.411e-01,1.696
-1.408e-01,1.704
-1.405e-01,1.712
-1.402e-01,1.704
-1.398e-01,1.712
-1.395e-01,1.712
-1.392e-01,1.704
-1.389e-01,1.696
-1.386e-01,1.688
-1.382e-01,1.68
-1.379e-01,1.672
-1.376e-01,1.664
-1.373e-01,1.656
-1.370e-01,1.648
-1.366e-01,1.648
-1.363e-01,1.64
-1.360e-01,1.64
-1.357e-01,1.64
-1.354e-01,1.624
-1.350e-01,1.624
-1.347e-01,1.616
-1.344e-01,1.616
-1.341e-01,1.608
-1.338e-01,1.616
-1.334e-01,1.6
-1.331e-01,1.608
-1.328e-01,1.6
-1.325e-01,1.6
-1.322e-01,1.592
-1.318e-01,1.584
-1.315e-01,1.584
